Subject,Flash_Peak_Max,Flash_Peak_Min,Flash_Peak_P2P,Flash_RMS,ChirpFreq_RMS,ChirpFreq_Std,ChirpAmp_RMS,ChirpAmp_Max,ChirpAmp_P2P,Power_Total,Power_Low,Power_Mid,Power_High
MR-0270,1.7958891293909192,-4.267680772027137,6.063569901418056,0.751843674273185,0.653735140408673,0.6536756628581898,0.7665956980781249,1.8089822144857017,3.9696609174999677,0.4035100805594088,0.3395003558173826,0.059012241868711686,0.004316542734345738
MR-0273,3.7514658556788665,-10.50890325473334,14.260369110412206,1.7715335848491625,0.2777465346560599,0.27760778331095703,0.41117993136105063,1.0572115514045202,2.1747857934333474,0.32157622221657156,0.304373632983091,0.016161473652884083,0.0007983767714248386
MR-0274,3.22483380260516,-5.662049836428954,8.886883639034114,1.1222815426709718,0.6598891394226435,0.6597943278303634,0.814101289195797,2.4605408726579268,4.868388086535674,0.5807646902645428,0.4928954174981624,0.061232888113682736,0.0180193631607033
MR-0275,4.249351985559205,-9.657116843542283,13.906468829101488,1.6981989477058208,0.2678925973230972,0.26772495068319396,0.6223655812432476,1.2566355965556626,3.145236723925735,0.3402121719216897,0.3267581230829138,0.01190228585562845,0.0012467683880729961
MR-0276,2.4160543015126077,-6.402440746204038,8.818495047716645,1.103296367725546,0.4701717720344348,0.47015068769294577,0.5044847896913415,0.8982177243967298,2.5790224608635652,0.2667990655520379,0.18396857949554238,0.04145799411087725,0.038259720279120064
MR-0278,2.3598914615441027,-5.619287994357679,7.9791794559017815,1.0360455316691797,0.5589315912735536,0.5589312835556146,0.3423474035272618,0.7308829696815469,1.9712570812761347,0.26515993284873207,0.13509089231310278,0.08023260803974452,0.04772341298805258
MR-0280-t1,1.9535955298939365,-4.133191486331609,6.0867870162255455,0.7120726177172881,0.3482733872716743,0.34821219559229066,0.49057032021903735,1.1345774106208075,2.80057910233076,0.16490621295869412,0.1338084506018437,0.0158328169936343,0.011670994263525343
MR-0280-t2,1.9574297987509448,-5.506083098647989,7.4635128973989335,0.8909766977987894,0.34318162024363363,0.3431815160739002,0.5999152716860329,1.7150108422386097,3.6340159974507156,0.2115730454069256,0.17026122956579298,0.015277703251021017,0.021087280912488113
MR-0282,2.597323125985628,-6.7426074872057615,9.33993061319139,1.0668713908641185,0.4559025717603806,0.45583073484737596,0.7854373583435931,1.6842406338182125,4.128101149362296,0.3499536774742521,0.3381540659231679,0.009588683502871488,0.001594223251943298
MR-0283-t2,2.1053277643244064,-9.41615706221921,11.521484826543617,0.9940399106705887,0.9892834346513486,0.9892726432274785,0.6085105964388143,1.7638112579584326,4.664862057334025,0.6686962609623794,0.3990631790396994,0.2283886759118738,0.035795191886565374
MR-0284,1.0888446489794397,-4.765484372952975,5.854329021932415,0.5302402852009386,0.6863721398006746,0.6863703155780064,0.42270372702994735,0.9925958920085687,2.9205864572457925,0.319329617392538,0.10682964361551735,0.06817261191705248,0.1253983831270052
MR-0285-t1,1.8710888630684481,-4.256684131982329,6.127772995050777,0.8238767888466546,0.5966615419486633,0.5966612498352791,0.44793041607538997,1.1497764142001536,2.630217786545545,0.27590440724603793,0.14789040652312033,0.08562211092470356,0.03196403851625733
MR-0285-t2,2.473558111667797,-9.163782156129125,11.637340267796922,1.0381160109475802,0.6313132998268174,0.6312256432471,0.6936879557573519,1.8078642884666039,4.547452772574546,0.4226269656380244,0.2544781464565753,0.09110103871848634,0.0641458739550393
MR-0287,2.2551779919378085,-5.308945379331328,7.564123371269137,0.9513401291176274,0.4944766207186487,0.49439258885055465,0.8323905370455221,1.850382383860126,4.501037097396004,0.36922104863746497,0.3453106390503716,0.011989780396553696,0.01134528774364587
MR-0288-t1,2.2461277975342036,-6.41804570666966,8.664173504203863,0.9602338370017048,0.5357336400363765,0.5356951493062468,0.7532112834522591,1.5423292376243751,3.8373362310379022,0.3596102031881968,0.335480907965147,0.02033813434550962,0.0033904644712614935
MR-0288-t2,1.8125367586186165,-5.1871608097530055,6.999697568371622,0.7761674435848578,0.5928034837545546,0.5927873723435747,0.6755013500800193,1.2814905435291584,3.372670044220524,0.34229768619912665,0.2772946897477735,0.05121062381083812,0.011791734565923617
MR-0289,1.806193775817582,-4.856691912565122,6.662885688382704,0.7250228946665682,0.477312317727104,0.47731172219897555,0.6366125455045902,1.464079322020598,3.3392182709374234,0.25839803086489327,0.22564036343451999,0.02229934965613775,0.007515069094147656
MR-0290,2.669935385269174,-6.845642950850983,9.515578336120157,1.1437449843385783,0.4566287893153567,0.4565940398786556,0.6197410583969938,1.2851233850907307,3.4527127465833134,0.30056922855652385,0.2701279660847033,0.021636504735651124,0.008712493944949691
MR-0291,1.4182684124408265,-3.777773247117634,5.19604165955846,0.6446979303496204,0.4934576953270837,0.4934429695653517,0.6760465906749247,1.8125316459407252,3.648432070236418,0.27049794164584096,0.2543580561007925,0.011122246875658106,0.0031795200816823947
MR-0292-t1,1.710985404877996,-4.049597058626886,5.760582463504882,0.7315875209478794,0.5710103746114068,0.5710077210651939,0.8533199042204214,1.962879367056159,4.453598190713037,0.3878550841586314,0.37653874565749057,0.009880901235523718,0.0013727965437168308
MR-0292-t2,1.6343224389139812,-4.589652948014859,6.22397538692884,0.7500670896475429,0.5835829175283387,0.5835755956192489,0.796449551048115,2.0470230798626208,4.292269169052508,0.37572203837650886,0.3542313467329367,0.01628679766582158,0.00465696738339643
