Subject,y_true,y_prob
MR-0298-t1,0,0.22740172669291497
MR-0298-t2,0,0.4578551009297371
MR-0276,0,0.6367584943771363
MR-0288-t1,0,0.02204224970191717
MR-0294,0,0.4321307703852654
MR-0275,1,0.6556032091379166
MR-0280-t1,1,0.43856179118156435
MR-0285-t2,1,0.3605785571038723
MR-0291,1,0.33466761931777
MR-0293,1,0.3073279645293951
MR-0306,0,0.49981963336467744
MR-0491,0,0.4174460798501968
MR-0273,0,0.5330225050449371
MR-0282,0,0.46047419011592866
MR-0289,0,0.4369065225124359
MR-0278,1,0.5911354303359986
MR-0285-t1,1,0.551378709077835
MR-0290,1,0.5802988708019257
MR-0292-t1,1,0.6257817029953003
MR-0296-t1,0,0.4531457722187042
MR-0309,0,0.3171091854572296
MR-0311,0,0.6407495677471161
MR-0284,0,0.6760206460952759
MR-0288-t2,0,0.44466673731803896
MR-0307-t2,1,0.6764047741889954
MR-0280-t2,1,0.47594835460186
MR-0287,1,0.5046110033988953
MR-0447,1,0.5969638764858246
MR-0299-t1,0,0.22137206923216582
MR-0300-t1,0,0.6971568450331688
MR-0270,0,0.9425019681453705
MR-0283-t2,0,0.4884644916281104
MR-0302-t1,1,0.9449427545070648
MR-0302-t2,1,0.8633595421910286
MR-0304-t2,1,0.29147733267745934
MR-0305,1,0.5428175876382738
MR-0310,1,0.0037905376637354495
MR-0296-t2,0,0.933530455827713
MR-0300-t2,0,0.12282575583085417
MR-0303,0,0.9764212846755982
MR-0474,0,0.8934704661369324
MR-0301-t2,1,0.6853049531579017
MR-0312,1,0.9815623879432678
MR-0313,1,0.9709071457386017
MR-0274,1,0.006572036352008581
MR-0292-t2,1,0.24862379720434546
