Subject,y_true,y_prob
MR-0270,0,0.6679627597332001
MR-0273,0,0.5385310471057891
MR-0274,1,0.43342518508434297
MR-0275,1,0.5227912813425064
MR-0276,0,0.6684152513742447
MR-0278,1,0.5987057566642762
MR-0280-t1,1,0.3505046162754297
MR-0280-t2,1,0.4772509753704071
MR-0282,0,0.4531301945447922
MR-0283-t2,0,0.48748486638069155
MR-0284,0,0.681793850660324
MR-0285-t1,1,0.5512119829654694
MR-0285-t2,1,0.37313089817762374
MR-0287,1,0.5200671970844268
MR-0288-t1,0,0.05437824428081513
MR-0288-t2,0,0.4580808699131012
MR-0289,0,0.4341156393289566
MR-0290,1,0.578398072719574
MR-0291,1,0.4917618855834007
MR-0292-t1,1,0.6250269055366516
MR-0292-t2,1,0.4022212713956833
MR-0293,1,0.2745139315724373
MR-0294,0,0.33900929391384127
MR-0296-t1,0,0.4669638335704803
MR-0296-t2,0,0.6380907475948334
MR-0298-t1,0,0.33989310041069987
MR-0298-t2,0,0.5546068847179413
MR-0299-t1,0,0.3027464233338833
MR-0300-t1,0,0.5475136578083039
MR-0300-t2,0,0.42797311544418337
MR-0301-t2,1,0.5029702216386795
MR-0302-t1,1,0.757500171661377
MR-0302-t2,1,0.7191279470920563
MR-0303,0,0.7038791179656982
MR-0304-t2,1,0.4266956463456154
MR-0305,1,0.4928133860230446
MR-0306,0,0.4911691129207611
MR-0307-t2,1,0.6852033317089081
MR-0309,0,0.3249947905540466
MR-0310,1,0.052168722823262216
MR-0311,0,0.6481768727302551
MR-0312,1,0.6430550038814544
MR-0313,1,0.658487468957901
MR-0447,1,0.6035674691200257
MR-0474,0,0.48043347597122193
MR-0491,0,0.4090774476528168
