Subject,y_true,y_prob
MR-0270,0,0.8000386118888855
MR-0273,0,0.48377483487129214
MR-0274,1,0.5062824130058289
MR-0275,1,0.5051574081182479
MR-0276,0,0.5198766052722931
MR-0278,1,0.6559019386768341
MR-0280-t1,1,0.46350604593753814
MR-0280-t2,1,0.4724694550037384
MR-0282,0,0.4965637415647507
MR-0283-t2,0,0.5012397855520249
MR-0284,0,0.4785936504602432
MR-0285-t1,1,0.531030410528183
MR-0285-t2,1,0.5202075272798539
MR-0287,1,0.48311289250850675
MR-0288-t1,0,0.4959893524646759
MR-0288-t2,0,0.4744429081678391
MR-0289,0,0.43411352932453157
MR-0290,1,0.44590920507907866
MR-0291,1,0.5129306018352509
MR-0292-t1,1,0.5580842733383179
MR-0292-t2,1,0.4065183103084564
MR-0293,1,0.4639473527669907
MR-0294,0,0.45363394618034364
MR-0296-t1,0,0.4783543050289154
MR-0296-t2,0,0.5694007456302643
MR-0298-t1,0,0.510529699921608
MR-0298-t2,0,0.5048584371805191
MR-0299-t1,0,0.45525313913822174
MR-0300-t1,0,0.5352913066744804
MR-0300-t2,0,0.49168045818805695
MR-0301-t2,1,0.49434924125671387
MR-0302-t1,1,0.8180482923984528
MR-0302-t2,1,0.866592413187027
MR-0303,0,0.6369242429733276
MR-0304-t2,1,0.2012321449816227
MR-0305,1,0.5935875236988067
MR-0306,0,0.3433742016553879
MR-0307-t2,1,0.48476165235042573
MR-0309,0,0.462772461771965
MR-0310,1,0.04557707691565156
MR-0311,0,0.48236083984375
MR-0312,1,0.606354022026062
MR-0313,1,0.6471285283565521
MR-0447,1,0.4836015671491623
MR-0474,0,0.5756045639514923
MR-0491,0,0.39330610632896423
