Subject,y_true,y_prob
MR-0270,0,0.6608063280582428
MR-0273,0,0.4560069769620895
MR-0274,1,0.2823203422129154
MR-0275,1,0.3917948558926582
MR-0276,0,0.8539407432079316
MR-0278,1,0.49064651131629944
MR-0280-t1,1,0.26281519085168836
MR-0280-t2,1,0.5075683206319809
MR-0282,0,0.4710942804813385
MR-0283-t2,0,0.7579008102416992
MR-0284,0,0.4941682040691376
MR-0285-t1,1,0.5070697128772735
MR-0285-t2,1,0.5170802593231201
MR-0287,1,0.5585279762744904
MR-0288-t1,0,0.10190277379006148
MR-0288-t2,0,0.525638872385025
MR-0289,0,0.4591886758804321
MR-0290,1,0.4894347310066223
MR-0291,1,0.6908512026071548
MR-0292-t1,1,0.5501134634017945
MR-0292-t2,1,0.37849714513868093
MR-0293,1,0.5221910566091538
MR-0294,0,0.5131686106324196
MR-0296-t1,0,0.5427797317504883
MR-0296-t2,0,0.8879321843385697
MR-0298-t1,0,0.19224540442228316
MR-0298-t2,0,0.9085126221179962
MR-0299-t1,0,0.7366293430328369
MR-0300-t1,0,0.4791619434952736
MR-0300-t2,0,0.3731857776641846
MR-0301-t2,1,0.5030326440930366
MR-0302-t1,1,0.8843426287174225
MR-0302-t2,1,0.9236339807510376
MR-0303,0,0.9740761399269104
MR-0304-t2,1,0.4562260389328003
MR-0305,1,0.6377606004476547
MR-0306,0,0.49359270334243777
MR-0307-t2,1,0.5690671741962433
MR-0309,0,0.5445838630199432
MR-0310,1,0.4346411094069481
MR-0311,0,0.5363324284553528
MR-0312,1,0.9862675070762634
MR-0313,1,0.9797679722309113
MR-0447,1,0.520378714799881
MR-0474,0,0.2939614400267601
MR-0491,0,0.4300945997238159
