Subject,y_true,y_prob
MR-0270,0,0.9765906572341919
MR-0273,0,0.5116353183984756
MR-0274,1,0.17654434815049172
MR-0275,1,0.43155634999275205
MR-0276,0,0.6055991113185882
MR-0278,1,0.5434513449668884
MR-0280-t1,1,0.2249814659357071
MR-0280-t2,1,0.48787707686424253
MR-0282,0,0.5139681249856949
MR-0283-t2,0,0.7145285738632083
MR-0284,0,0.4903874725103378
MR-0285-t1,1,0.4588175922632217
MR-0285-t2,1,0.5566777259111404
MR-0287,1,0.5054666578769684
MR-0288-t1,0,0.15986061543226243
MR-0288-t2,0,0.47866711020469666
MR-0289,0,0.42413890957832334
MR-0290,1,0.545595782995224
MR-0291,1,0.5656248569488526
MR-0292-t1,1,0.5533494412899017
MR-0292-t2,1,0.2104139942675829
MR-0293,1,0.25582689195871355
MR-0294,0,0.25316228419542314
MR-0296-t1,0,0.4827247440814972
MR-0296-t2,0,0.43546967804431913
MR-0298-t1,0,0.4049054250121117
MR-0298-t2,0,0.48464094996452334
MR-0299-t1,0,0.45062083676457404
MR-0300-t1,0,0.47419190816581247
MR-0300-t2,0,0.0701251907274127
MR-0301-t2,1,0.5033912748098374
MR-0302-t1,1,0.7191803097724915
MR-0302-t2,1,0.9652444005012513
MR-0303,0,0.9879570841789246
MR-0304-t2,1,0.06280610690591856
MR-0305,1,0.5125859210267663
MR-0306,0,0.4589566797018051
MR-0307-t2,1,0.5094322502613068
MR-0309,0,0.4857557237148285
MR-0310,1,0.05231941319070756
MR-0311,0,0.48914906084537507
MR-0312,1,0.983581680059433
MR-0313,1,0.9622788250446319
MR-0447,1,0.49139393866062164
MR-0474,0,0.006767193577252329
MR-0491,0,0.4146454483270645
