subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21
MR-0298-t1,0,1,0.6057405471801758,0.05164773389697075,0.05582744628190994,0.05292332544922829,0.05581897869706154,0.04988565668463707,0.050026800483465195,0.045276347547769547,0.05458418279886246,0.03573143109679222,0.051428742706775665,0.029115106910467148,0.044339582324028015,0.027207255363464355,0.046985503286123276,0.029659658670425415,0.0487653911113739,0.030837979167699814,0.045065987855196,0.04490908235311508,0.04515749588608742,0.050313446670770645,0.05449287220835686
MR-0298-t2,0,1,0.6200196146965027,0.05120420083403587,0.06051449850201607,0.05414386838674545,0.053914912045001984,0.05007918179035187,0.05452272295951843,0.042256053537130356,0.053839124739170074,0.033567875623703,0.05077016353607178,0.028344623744487762,0.04863930121064186,0.02512938156723976,0.04833310469985008,0.02521873079240322,0.04841136559844017,0.0265005175024271,0.04449721425771713,0.0391467921435833,0.04850887134671211,0.05356767401099205,0.05888983607292175
MR-0276,0,1,0.6172493100166321,0.050310730934143066,0.06073847413063049,0.05405305698513985,0.05568794533610344,0.04770924150943756,0.05598722770810127,0.03905535489320755,0.049452196806669235,0.030541302636265755,0.0471612922847271,0.0279611274600029,0.04982845112681389,0.02770550176501274,0.05389278754591942,0.024891125038266182,0.055903561413288116,0.02463686838746071,0.04917437583208084,0.04106363281607628,0.04563762620091438,0.05097678303718567,0.05763131380081177
MR-0288-t1,0,1,0.591739296913147,0.04940648376941681,0.05975749343633652,0.053027402609586716,0.054331302642822266,0.04851456359028816,0.054153792560100555,0.04270411282777786,0.050390440970659256,0.03866181895136833,0.04753116890788078,0.03494502604007721,0.048549093306064606,0.031254202127456665,0.04907307028770447,0.02970576286315918,0.047399621456861496,0.029830031096935272,0.041941381990909576,0.04291260614991188,0.041803840547800064,0.04778943210840225,0.056317418813705444
MR-0294,0,1,0.6100853681564331,0.050185345113277435,0.06435531377792358,0.05352883040904999,0.05247695371508598,0.04853034391999245,0.05371798947453499,0.043076250702142715,0.04577649012207985,0.03484984487295151,0.05124124139547348,0.028846081346273422,0.047587331384420395,0.02862980030477047,0.049087803810834885,0.029568102210760117,0.04825608804821968,0.03144907206296921,0.046896323561668396,0.036723166704177856,0.04327845200896263,0.05270647257566452,0.05923270061612129
MR-0275,1,1,0.6134009957313538,0.05197424441576004,0.061285413801670074,0.0508171021938324,0.05514555424451828,0.04807869344949722,0.05578983947634697,0.04259026050567627,0.05096352472901344,0.033631689846515656,0.04911591857671738,0.031074047088623047,0.04900762811303139,0.0292902123183012,0.049267902970314026,0.026416722685098648,0.0522119514644146,0.027310803532600403,0.042781852185726166,0.03514322265982628,0.04825321212410927,0.053174201399087906,0.05667605996131897
MR-0280-t1,1,1,0.5953027606010437,0.05129086226224899,0.05608801543712616,0.05194690823554993,0.05707217752933502,0.048336345702409744,0.053607162088155746,0.03761313110589981,0.050119515508413315,0.033997610211372375,0.044552288949489594,0.03436247631907463,0.04592016711831093,0.028018198907375336,0.053290218114852905,0.032724350690841675,0.050538986921310425,0.028217876330018044,0.046355240046978,0.04292262718081474,0.042126938700675964,0.05008671432733536,0.06081213057041168
MR-0285-t2,1,1,0.6138643622398376,0.052978627383708954,0.05665023997426033,0.04938891530036926,0.05075885355472565,0.04286012053489685,0.05276249721646309,0.043548084795475006,0.05135023966431618,0.03693180903792381,0.04775581508874893,0.030530253425240517,0.05394694209098816,0.031766410917043686,0.05415387824177742,0.029352223500609398,0.05661056935787201,0.027168897911906242,0.04828297346830368,0.038217317312955856,0.03939114138484001,0.0518207848072052,0.05377337709069252
MR-0291,1,1,0.6091774702072144,0.05027536675333977,0.06251241266727448,0.05415664240717888,0.05502532050013542,0.04803140461444855,0.055780306458473206,0.04147802293300629,0.05321991443634033,0.03279628977179527,0.0478849932551384,0.030766449868679047,0.045080140233039856,0.02922714874148369,0.04622277989983559,0.028933487832546234,0.04725339636206627,0.029411345720291138,0.04562203958630562,0.040211014449596405,0.04627018794417381,0.051565539091825485,0.058275800198316574
MR-0293,1,1,0.6067155003547668,0.049784328788518906,0.06298137456178665,0.05163126066327095,0.05750052258372307,0.04892360791563988,0.0531514547765255,0.039562176913022995,0.05030101165175438,0.034374259412288666,0.0466640368103981,0.03297671675682068,0.04554211348295212,0.030992470681667328,0.048625413328409195,0.028966503217816353,0.04752400889992714,0.028005307540297508,0.04589522257447243,0.041861679404973984,0.045309122651815414,0.05280410125851631,0.05662328749895096
