segment,attn_pos,input_start,input_end,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
amplitude,0,0,125,0.035113063,0.042638034,0.2025881263524114,0.7937526959414369,0.22117202268431002,False
amplitude,1,125,250,0.041237626,0.051516503,0.3795275020615829,0.7937526959414369,0.15311909262759923,False
amplitude,2,250,375,0.041255828,0.04094808,0.6133543559547467,0.7937526959414369,0.0888468809073724,False
amplitude,3,375,500,0.039772384,0.040117364,0.5828479525709245,0.7937526959414369,0.09640831758034027,False
amplitude,4,500,625,0.03939849,0.041668117,0.5678649632170945,0.7937526959414369,0.1001890359168242,False
amplitude,5,625,750,0.041459136,0.04272936,0.6133543559547467,0.7937526959414369,0.0888468809073724,False
amplitude,6,750,875,0.03670416,0.041002292,0.2269299927604218,0.7937526959414369,0.20982986767485823,False
amplitude,7,875,1000,0.052556835,0.043820385,0.7920649110308847,0.9087223057374328,0.04725897920604915,False
amplitude,8,1000,1125,0.03835936,0.039512478,0.49584327185880905,0.7937526959414369,0.11909262759924386,False
amplitude,9,1125,1250,0.050842762,0.039406106,0.3122163883433192,0.7937526959414369,0.17580340264650285,False
amplitude,10,1250,1375,0.03892241,0.047202658,0.2442754895774485,0.7937526959414369,0.20226843100189035,False
amplitude,11,1375,1500,0.046020973,0.036949046,0.3448249448015488,0.7937526959414369,0.16446124763705103,False
amplitude,12,1500,1625,0.048647918,0.057349216,0.9649535370789418,1.0,0.00945179584120983,False
amplitude,13,1625,1750,0.04824872,0.036886733,0.4038140735077811,0.7937526959414369,0.14555765595463138,False
amplitude,14,1750,1875,0.062257487,0.07685401,1.0,1.0,0.001890359168241966,False
amplitude,15,1875,2000,0.04819462,0.03667341,0.04103919567442633,0.7937526959414369,0.3534971644612476,False
amplitude,16,2000,2125,0.08171991,0.08035044,0.5828479525709245,0.7937526959414369,0.09640831758034027,False
amplitude,17,2125,2250,0.045049272,0.039414797,0.4820471633945512,0.7937526959414369,0.12287334593572778,False
amplitude,18,2250,2375,0.04786713,0.04286098,0.13520064031205972,0.7937526959414369,0.2589792060491493,False
amplitude,19,2375,2500,0.040714253,0.041409157,0.7751850035424285,0.9087223057374328,0.05103969754253308,False
amplitude,20,2500,2625,0.03829904,0.04207839,0.4550924518190428,0.7937526959414369,0.13043478260869565,False
amplitude,21,2625,2750,0.037358593,0.038612444,0.8261111870340299,0.9087223057374328,0.03969754253308128,False
