segment,attn_pos,input_start,input_end,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
frequency,0,0,128,0.008332402,0.0077267224,0.5384642123452066,0.9474514362730875,0.10775047258979206,False
frequency,1,128,257,0.010799243,0.009887094,0.7087941528764135,0.9474514362730875,0.0661625708884688,False
frequency,2,257,386,0.012849679,0.008835621,0.8090428622375638,0.9474514362730875,0.043478260869565216,False
frequency,3,386,515,0.035011526,0.088082984,0.860487646185888,0.9474514362730875,0.03213610586011342,False
frequency,4,515,644,0.18795942,0.2263332,0.7584106712666504,0.9474514362730875,0.054820415879017016,False
frequency,5,644,773,0.103067204,0.030786864,0.2025881263524114,0.9474514362730875,0.22117202268431002,False
frequency,6,773,902,0.030020535,0.040075682,0.4550924518190428,0.9474514362730875,0.13043478260869565,False
frequency,7,902,1031,0.039192095,0.042482756,0.9474514362730875,0.9474514362730875,0.013232514177693762,False
frequency,8,1031,1160,0.061726622,0.050084032,0.8261111870340299,0.9474514362730875,0.03969754253308128,False
frequency,9,1160,1289,0.029829517,0.03772329,0.42900789267703454,0.9474514362730875,0.13799621928166353,False
frequency,10,1289,1417,0.015165233,0.031566102,0.7751850035424285,0.9474514362730875,0.05103969754253308,False
frequency,11,1417,1546,0.019133056,0.04149455,0.9474514362730875,0.9474514362730875,0.013232514177693762,False
frequency,12,1546,1675,0.062472593,0.022840865,0.5530688096633625,0.9474514362730875,0.10396975425330812,False
frequency,13,1675,1804,0.029001523,0.019930921,0.5530688096633625,0.9474514362730875,0.10396975425330812,False
frequency,14,1804,1933,0.026748642,0.025405785,0.598012816244638,0.9474514362730875,0.09262759924385633,False
frequency,15,1933,2062,0.04150594,0.0640998,0.5530688096633625,0.9474514362730875,0.10396975425330812,False
frequency,16,2062,2191,0.025240447,0.043956596,0.39155650830559197,0.9474514362730875,0.14933837429111532,False
frequency,17,2191,2320,0.023308007,0.01780531,0.7417492970289709,0.9474514362730875,0.05860113421550094,False
frequency,18,2320,2449,0.01573905,0.01410146,0.6445455153557687,0.9474514362730875,0.08128544423440454,False
frequency,19,2449,2578,0.019103333,0.013997451,0.7252081052994781,0.9474514362730875,0.062381852551984876,False
frequency,20,2578,2707,0.016143281,0.010931271,0.30181384165632663,0.9474514362730875,0.17958412098298676,False
frequency,21,2707,2835,0.019082312,0.010372969,0.12408709535760336,0.9474514362730875,0.2665406427221172,False
frequency,22,2835,2964,0.019166574,0.010988563,0.2025881263524114,0.9474514362730875,0.22117202268431002,False
frequency,23,2964,3093,0.019985573,0.011047379,0.19491290912722659,0.9474514362730875,0.22495274102079396,False
frequency,24,3093,3222,0.022850182,0.013775322,0.41629851367413584,0.9474514362730875,0.14177693761814744,False
frequency,25,3222,3351,0.02575562,0.016675781,0.929974658010373,0.9474514362730875,0.017013232514177693,False
frequency,26,3351,3480,0.012557838,0.021642696,0.6763753016299376,0.9474514362730875,0.07372400756143667,False
frequency,27,3480,3609,0.012120903,0.010656192,0.929974658010373,0.9474514362730875,0.017013232514177693,False
frequency,28,3609,3738,0.012065031,0.012103826,0.860487646185888,0.9474514362730875,0.03213610586011342,False
frequency,29,3738,3867,0.012468824,0.011550849,0.5098473410934687,0.9474514362730875,0.11531190926275993,False
frequency,30,3867,3996,0.017436732,0.011011783,0.39155650830559197,0.9474514362730875,0.14933837429111532,False
frequency,31,3996,4125,0.0141611155,0.022026282,0.860487646185888,0.9474514362730875,0.03213610586011342,False
