segment,attn_pos,input_start,input_end,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
full,0,0,128,0.0071668862,0.0054447385,0.8090428622375638,1.0,0.043478260869565216,False
full,1,128,257,0.0491279,0.05355304,0.8951305559105456,1.0,0.024574669187145556,False
full,2,257,386,0.031872008,0.06488977,0.8777798418617795,1.0,0.02835538752362949,False
full,3,386,514,0.006777282,0.0071015707,1.0,1.0,0.001890359168241966,False
full,4,514,643,0.006730399,0.007713316,0.2720040994277395,1.0,0.19092627599243855,False
full,5,643,772,0.009324445,0.008481036,0.4038140735077811,1.0,0.14555765595463138,False
full,6,772,900,0.009083219,0.0070249825,0.3677284888622401,1.0,0.15689981096408318,False
full,7,900,1029,0.011446251,0.013718486,0.8261111870340299,1.0,0.03969754253308128,False
full,8,1029,1158,0.0075984807,0.006804868,0.7252081052994781,1.0,0.062381852551984876,False
full,9,1158,1286,0.0068061617,0.006753561,0.9824725399605366,1.0,0.005671077504725898,False
full,10,1286,1415,0.011518168,0.009735361,0.4820471633945512,1.0,0.12287334593572778,False
full,11,1415,1544,0.044758905,0.052268613,0.6288671413671834,1.0,0.08506616257088846,False
full,12,1544,1672,0.007434194,0.007957015,0.7252081052994781,1.0,0.062381852551984876,False
full,13,1672,1801,0.091689505,0.041150846,0.6445455153557687,1.0,0.08128544423440454,False
full,14,1801,1930,0.007233623,0.0077812206,0.7920649110308847,1.0,0.04725897920604915,False
full,15,1930,2058,0.007971248,0.008034291,0.929974658010373,1.0,0.017013232514177693,False
full,16,2058,2187,0.007168856,0.007960578,0.6133543559547467,1.0,0.0888468809073724,False
full,17,2187,2316,0.021058325,0.009701234,0.3677284888622401,1.0,0.15689981096408318,False
full,18,2316,2444,0.02731771,0.022375787,0.8777798418617795,1.0,0.02835538752362949,False
full,19,2444,2573,0.010633833,0.011141425,0.8090428622375638,1.0,0.043478260869565216,False
full,20,2573,2702,0.02897664,0.033279646,0.045587212847502605,1.0,0.34593572778827975,False
full,21,2702,2830,0.013662156,0.031412844,0.6603835997594716,1.0,0.07750472589792061,False
full,22,2830,2959,0.011292252,0.020857459,0.41629851367413584,1.0,0.14177693761814744,False
full,23,2959,3088,0.014666407,0.013136369,0.4684624853723316,1.0,0.1266540642722117,False
full,24,3088,3216,0.009621889,0.009705556,0.9125315861561896,1.0,0.020793950850661626,False
full,25,3216,3345,0.012653347,0.010849511,0.8090428622375638,1.0,0.043478260869565216,False
full,26,3345,3474,0.024241554,0.016826827,0.929974658010373,1.0,0.017013232514177693,False
full,27,3474,3602,0.036762703,0.026516998,0.7417492970289709,1.0,0.05860113421550094,False
full,28,3602,3731,0.023781497,0.016938196,0.8432620870195109,1.0,0.035916824196597356,False
full,29,3731,3860,0.012560501,0.011327575,0.7584106712666504,1.0,0.054820415879017016,False
full,30,3860,3988,0.00850029,0.009231356,0.8951305559105456,1.0,0.024574669187145556,False
full,31,3988,4117,0.007252281,0.0071178987,0.9474514362730875,1.0,0.013232514177693762,False
full,32,4117,4246,0.0066693737,0.007700382,0.26253133000292905,1.0,0.1947069943289225,False
full,33,4246,4375,0.006595793,0.008949143,0.18020633045640255,1.0,0.23251417769376181,False
full,34,4375,4503,0.0065100025,0.0075001307,0.39155650830559197,1.0,0.14933837429111532,False
full,35,4503,4632,0.007847399,0.008002595,0.3448249448015488,1.0,0.16446124763705103,False
full,36,4632,4761,0.00702574,0.008432699,0.3795275020615829,1.0,0.15311909262759923,False
full,37,4761,4889,0.009722419,0.008822124,0.4684624853723316,1.0,0.1266540642722117,False
full,38,4889,5018,0.008953962,0.022850363,0.25328887626228025,1.0,0.19848771266540643,False
full,39,5018,5147,0.0090404395,0.013414108,0.3228524622502231,1.0,0.1720226843100189,False
full,40,5147,5275,0.007710302,0.009161341,0.25328887626228025,1.0,0.19848771266540643,False
full,41,5275,5404,0.008559961,0.009222067,0.6445455153557687,1.0,0.08128544423440454,False
full,42,5404,5533,0.007641014,0.008113106,0.8090428622375638,1.0,0.043478260869565216,False
full,43,5533,5661,0.0071565057,0.0073839957,0.6925143199592534,1.0,0.06994328922495274,False
full,44,5661,5790,0.007254698,0.007506616,0.6133543559547467,1.0,0.0888468809073724,False
full,45,5790,5919,0.007846143,0.0070963353,0.8951305559105456,1.0,0.024574669187145556,False
full,46,5919,6047,0.0071008424,0.0069236094,1.0,1.0,0.001890359168241966,False
full,47,6047,6176,0.007075257,0.006434493,0.6925143199592534,1.0,0.06994328922495274,False
full,48,6176,6305,0.0067889015,0.006744464,0.860487646185888,1.0,0.03213610586011342,False
full,49,6305,6433,0.006711928,0.006417794,1.0,1.0,0.001890359168241966,False
full,50,6433,6562,0.007607979,0.0073058405,0.9649535370789418,1.0,0.00945179584120983,False
full,51,6562,6691,0.0072224354,0.0068464726,0.860487646185888,1.0,0.03213610586011342,False
full,52,6691,6819,0.011975723,0.008854022,0.5240556469270492,1.0,0.11153119092627599,False
full,53,6819,6948,0.0085568745,0.0073825936,0.6133543559547467,1.0,0.0888468809073724,False
full,54,6948,7077,0.01813172,0.011648522,0.5530688096633625,1.0,0.10396975425330812,False
full,55,7077,7205,0.011496531,0.008231624,0.4684624853723316,1.0,0.1266540642722117,False
full,56,7205,7334,0.025373153,0.018413227,0.9125315861561896,1.0,0.020793950850661626,False
full,57,7334,7463,0.012423102,0.009291538,0.8090428622375638,1.0,0.043478260869565216,False
full,58,7463,7591,0.032636017,0.029732132,0.7920649110308847,1.0,0.04725897920604915,False
full,59,7591,7720,0.014137112,0.010229719,0.7920649110308847,1.0,0.04725897920604915,False
full,60,7720,7849,0.031992517,0.038749427,1.0,1.0,0.001890359168241966,False
full,61,7849,7977,0.012178988,0.010818996,0.7751850035424285,1.0,0.05103969754253308,False
full,62,7977,8106,0.029493138,0.058011692,0.9824725399605366,1.0,0.005671077504725898,False
full,63,8106,8235,0.012548712,0.010292277,0.860487646185888,1.0,0.03213610586011342,False
full,64,8235,8363,0.014952653,0.01290025,0.8951305559105456,1.0,0.024574669187145556,False
full,65,8363,8492,0.009131068,0.008385652,0.7252081052994781,1.0,0.062381852551984876,False
full,66,8492,8621,0.009204295,0.0076834406,0.4684624853723316,1.0,0.1266540642722117,False
full,67,8621,8750,0.008038366,0.0077552297,0.8090428622375638,1.0,0.043478260869565216,False
