Subject,Label,P_intact,P_no_fund,Delta_P
MR-0270,WT,0.34825834929943084,0.5133800625801086,0.16512171328067776
MR-0273,WT,0.635249388217926,0.5595306277275085,-0.07571876049041748
MR-0274,5xFAD,0.6258333027362823,0.6265038669109344,0.0006705641746520552
MR-0275,5xFAD,0.6783395290374756,0.6220917105674744,-0.056247818470001265
MR-0276,WT,0.6707452058792114,0.5052197098731994,-0.16552549600601196
MR-0278,5xFAD,0.7645526051521301,0.5082950115203857,-0.2562575936317444
MR-0280-t1,5xFAD,0.3284648865461349,0.3731399804353714,0.04467509388923646
MR-0280-t2,5xFAD,0.5187954425811767,0.3349032461643219,-0.18389219641685484
MR-0282,WT,0.33440669178962706,0.19968210011720658,-0.13472459167242049
MR-0283-t2,WT,0.4340453654527664,0.4802565336227417,0.04621116816997528
MR-0284,WT,0.5119315445423126,0.35653331875801086,-0.15539822578430174
MR-0285-t1,5xFAD,0.6340940833091736,0.6394257605075836,0.00533167719840999
MR-0285-t2,5xFAD,0.621818745136261,0.605622011423111,-0.016196733713150002
MR-0287,5xFAD,0.5378404319286346,0.21974008679389953,-0.31810034513473506
MR-0288-t1,WT,0.22883670330047606,0.13447313643991948,-0.09436356686055658
MR-0288-t2,WT,0.462645822763443,0.2836683690547943,-0.1789774537086487
MR-0289,WT,0.3217205941677094,0.3159867599606514,-0.005733834207057975
MR-0290,5xFAD,0.6814141750335694,0.37275946140289307,-0.3086547136306763
MR-0291,5xFAD,0.6269583106040955,0.5258288621902466,-0.10112944841384885
MR-0292-t1,5xFAD,0.6904130220413208,0.48131256103515624,-0.20910046100616458
MR-0292-t2,5xFAD,0.6468128085136413,0.6072433531284332,-0.03956945538520806
MR-0293,5xFAD,0.5113088190555573,0.5274169623851777,0.016108143329620406
MR-0294,WT,0.6182875990867615,0.5269701242446899,-0.09131747484207153
MR-0296-t1,WT,0.39376734793186186,0.34212074875831605,-0.051646599173545804
MR-0296-t2,WT,0.6642505764961243,0.41096554398536683,-0.25328503251075746
MR-0298-t1,WT,0.5076711356639863,0.26604004502296447,-0.24163109064102178
MR-0298-t2,WT,0.7441847562789917,0.5988531768321991,-0.14533157944679265
MR-0299-t1,WT,0.5934116005897522,0.33195672929286957,-0.2614548712968826
MR-0300-t1,WT,0.7405091643333435,0.5415268659591674,-0.19898229837417603
MR-0300-t2,WT,0.42892956733703613,0.2308414727449417,-0.19808809459209442
MR-0301-t2,5xFAD,0.7457736492156982,0.3392463445663452,-0.406527304649353
MR-0302-t1,5xFAD,0.7679205417633057,0.5609817802906036,-0.20693876147270207
MR-0302-t2,5xFAD,0.761846399307251,0.5442636787891388,-0.21758272051811212
MR-0303,WT,0.42056667506694795,0.3715635225176811,-0.04900315254926685
MR-0304-t2,5xFAD,0.6551880717277527,0.30992896407842635,-0.3452591076493264
MR-0305,5xFAD,0.7511568307876587,0.21660494506359101,-0.5345518857240676
MR-0306,WT,0.3650929659605026,0.21529118716716766,-0.14980177879333495
MR-0307-t2,5xFAD,0.7629412531852722,0.4723537862300873,-0.2905874669551849
MR-0309,WT,0.18715963400900365,0.19801331758499147,0.010853683575987816
MR-0310,5xFAD,0.5215303152799606,0.2223869800567627,-0.2991433352231979
MR-0311,WT,0.5302744030952453,0.18803914375603198,-0.34223525933921334
MR-0312,5xFAD,0.7381116151809692,0.3162195697426796,-0.4218920454382896
MR-0313,5xFAD,0.7541661620140075,0.512965875864029,-0.24120028614997857
MR-0447,5xFAD,0.7379907369613647,0.6028414785861969,-0.1351492583751679
MR-0474,WT,0.2626192271709442,0.2700636863708496,0.007444459199905384
MR-0491,WT,0.19460443407297134,0.20342983528971673,0.008825401216745382
