Subject,y_true,y_prob
MR-0270,0,0.4971436560153961
MR-0280-t2,1,0.5300599932670593
MR-0282,0,0.49934184551239014
MR-0288-t2,0,0.48288872838020325
MR-0290,1,0.5211419463157654
MR-0292-t1,1,0.5103644728660583
MR-0298-t1,0,0.49840718507766724
MR-0310,1,0.5252466797828674
MR-0313,1,0.5237125158309937
MR-0278,1,0.48264795541763306
MR-0280-t1,1,0.5022572875022888
MR-0284,0,0.47595760226249695
MR-0287,1,0.45761430263519287
MR-0291,1,0.49035993218421936
MR-0300-t1,0,0.45049914717674255
MR-0301-t2,1,0.48071345686912537
MR-0303,0,0.4898771047592163
MR-0311,0,0.49412187933921814
MR-0275,1,0.4791436493396759
MR-0283-t2,0,0.631575345993042
MR-0288-t1,0,0.6058756709098816
MR-0292-t2,1,0.474221795797348
MR-0298-t2,0,0.45186054706573486
MR-0302-t2,1,0.5003472566604614
MR-0306,0,0.5683996081352234
MR-0307-t2,1,0.7133869528770447
MR-0276,0,0.4892672002315521
MR-0285-t1,1,0.5966530442237854
MR-0293,1,0.5290010571479797
MR-0296-t2,0,0.5476022362709045
MR-0300-t2,0,0.4766688644886017
MR-0302-t1,1,0.6246815323829651
MR-0304-t2,1,0.6143829226493835
MR-0309,0,0.46957990527153015
MR-0273,0,0.4543576240539551
MR-0274,1,0.45459794998168945
MR-0285-t2,1,0.4631146490573883
MR-0289,0,0.45375287532806396
MR-0296-t1,0,0.45537269115448
MR-0299-t1,0,0.46291035413742065
MR-0305,1,0.4604455828666687
MR-0312,1,0.46235617995262146
