Subject,y_true,y_prob
MR-0270,0,0.406912237405777
MR-0280-t2,1,0.7870175838470459
MR-0282,0,0.3409316837787628
MR-0288-t2,0,0.48665788769721985
MR-0290,1,0.5129814743995667
MR-0292-t1,1,0.5022493004798889
MR-0298-t1,0,0.4266941547393799
MR-0310,1,0.35048815608024597
MR-0313,1,0.6305790543556213
MR-0278,1,0.8115557432174683
MR-0280-t1,1,0.7601775527000427
MR-0284,0,0.9405179023742676
MR-0287,1,0.7393401265144348
MR-0291,1,0.982673168182373
MR-0300-t1,0,0.980270504951477
MR-0301-t2,1,0.9944250583648682
MR-0303,0,0.9936527013778687
MR-0311,0,0.6620871424674988
MR-0275,1,0.09538090974092484
MR-0283-t2,0,0.9050788879394531
MR-0288-t1,0,0.0713827833533287
MR-0292-t2,1,0.6779140830039978
MR-0298-t2,0,0.4041082561016083
MR-0302-t2,1,0.0983579158782959
MR-0306,0,0.056079644709825516
MR-0307-t2,1,0.7832727432250977
MR-0276,0,0.3748137056827545
MR-0285-t1,1,0.7562150955200195
MR-0293,1,0.002319762948900461
MR-0296-t2,0,0.5945574641227722
MR-0300-t2,0,0.005616674665361643
MR-0302-t1,1,0.7740656733512878
MR-0304-t2,1,0.9718731045722961
MR-0309,0,0.19650757312774658
MR-0273,0,0.06508678197860718
MR-0274,1,0.000696578121278435
MR-0285-t2,1,0.004950209520757198
MR-0289,0,0.1616445779800415
MR-0296-t1,0,0.22092127799987793
MR-0299-t1,0,0.4961847960948944
MR-0305,1,0.5814204216003418
MR-0312,1,0.9880229234695435
