Subject,y_true,y_prob
MR-0270,0,0.46009793877601624
MR-0273,0,0.3265286684036255
MR-0274,1,0.04723956063389778
MR-0275,1,0.06396922469139099
MR-0276,0,0.5637546181678772
MR-0278,1,0.6214887499809265
MR-0280-t1,1,0.8805598616600037
MR-0280-t2,1,0.4675332009792328
MR-0282,0,0.4606187343597412
MR-0283-t2,0,0.8671656847000122
MR-0284,0,0.4407590329647064
MR-0285-t1,1,0.6645628213882446
MR-0285-t2,1,0.1732032597064972
MR-0287,1,0.614684522151947
MR-0288-t1,0,0.5555411577224731
MR-0288-t2,0,0.45389604568481445
MR-0289,0,0.3208189308643341
MR-0290,1,0.4608609974384308
MR-0291,1,0.8849833011627197
MR-0292-t1,1,0.46416765451431274
MR-0292-t2,1,0.630279004573822
MR-0293,1,0.16335611045360565
MR-0296-t1,0,0.40069717168807983
MR-0296-t2,0,0.6176260113716125
MR-0298-t1,0,0.45889273285865784
MR-0298-t2,0,0.4957350492477417
MR-0299-t1,0,0.042541276663541794
MR-0300-t1,0,0.54751056432724
MR-0300-t2,0,0.11002351343631744
MR-0301-t2,1,0.8378615379333496
MR-0302-t1,1,0.6455889344215393
MR-0302-t2,1,0.29870808124542236
MR-0303,0,0.834771990776062
MR-0304-t2,1,0.8418055176734924
MR-0305,1,0.42106354236602783
MR-0306,0,0.40463313460350037
MR-0307-t2,1,0.5600400567054749
MR-0309,0,0.292102575302124
MR-0310,1,0.458672434091568
MR-0311,0,0.5052035450935364
MR-0312,1,0.4653555750846863
MR-0313,1,0.4617379307746887
