feature,stat_type,channel,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
mean_ch0,mean,0,0.21880603,0.21434626,0.7529105691547924,1.0,0.05909090909090909,False
mean_ch1,mean,1,0.18600927,0.17670363,0.472909698996303,1.0,0.1318181818181818,False
mean_ch2,mean,2,0.23561712,0.25340492,0.9497977392850876,1.0,0.013636363636363636,False
mean_ch3,mean,3,0.2678878,0.25017434,0.29595417216656883,1.0,0.19090909090909092,False
mean_ch4,mean,4,0.19295329,0.1711743,0.7914445482671524,1.0,0.05,False
mean_ch5,mean,5,0.18582818,0.19363362,0.7149826481971533,1.0,0.06818181818181818,False
mean_ch6,mean,6,0.3238445,0.28864905,0.45751973518577416,1.0,0.13636363636363635,False
mean_ch7,mean,7,0.2684796,0.3022443,0.605660011147294,1.0,0.09545454545454546,False
mean_ch8,mean,8,0.24268274,0.1941105,0.7433583366197553,1.0,0.06136363636363636,False
mean_ch9,mean,9,0.2625757,0.23571509,0.6962727236255709,1.0,0.07272727272727272,False
mean_ch10,mean,10,0.17964008,0.14085616,0.7914445482671524,1.0,0.05,False
mean_ch11,mean,11,0.1848515,0.20241135,0.6962727236255709,1.0,0.07272727272727272,False
mean_ch12,mean,12,0.17944293,0.1570338,0.5041810469308922,1.0,0.12272727272727273,False
mean_ch13,mean,13,0.1611054,0.17283477,0.7623972814692711,1.0,0.056818181818181816,False
mean_ch14,mean,14,0.18329749,0.16344827,0.9097657731069636,1.0,0.022727272727272728,False
mean_ch15,mean,15,0.2422376,0.21097283,0.6233599328013222,1.0,0.09090909090909091,False
mean_ch16,mean,16,0.32032064,0.2970898,0.8501850466767734,1.0,0.03636363636363636,False
mean_ch17,mean,17,0.23538649,0.17113505,0.1340121039491895,1.0,0.2727272727272727,False
mean_ch18,mean,18,0.24220054,0.21756043,0.9899531794367487,1.0,0.004545454545454545,False
mean_ch19,mean,19,0.19387412,0.17611477,0.9698659091539126,1.0,0.00909090909090909,False
mean_ch20,mean,20,0.22462909,0.1798454,0.5207433942699498,1.0,0.11818181818181818,False
mean_ch21,mean,21,0.13635406,0.109950855,0.44241503107469526,1.0,0.1409090909090909,False
mean_ch22,mean,22,0.15125056,0.1281605,0.6594117874924867,1.0,0.08181818181818182,False
mean_ch23,mean,23,0.23206611,0.21013254,0.5045267455675012,1.0,0.12272727272727273,False
